MatchID,Defending Result,Defending Team,Chasing Team,Defending Stadium,Time,Defending Toss,Bat2 Strength,Bowl2 Strength,First Inn Score,First Inn Median,Second Inn Median,Ground Altitude,Ground Length,Ground Width
43,0,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,AWAY,Day/Night,LOST,23839.88948,2837.399375,160,163.5,145.5,917,118.872,107.8992
44,0,DELHI CAPITALS,PUNJAB KINGS,HOME,Day,WON,26599.94361,4463.292276,111,185,147,208,136,130
45,1,MUMBAI INDIANS,RAJASTHAN ROYALS,AWAY,Day/Night,LOST,35726.99324,4491.024971,174,154.5,148.5,429,145.06,142.33
46,1,DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,25798.79821,3614.265323,151,155.7,148.3,290,146.304,155.448
47,1,MUMBAI INDIANS,DELHI CAPITALS,HOME,Day,WON,29230.59906,4656.55006,183,170.5,160,2,143.07,136.88
48,0,KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,AWAY,Day/Night,WON,30364.33116,2520.865071,139,167,160.5,5,131.66,137.16
49,0,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,26151.40798,3585.26081,130,156,146,429,145.06,142.33
50,0,CHENNAI SUPER KINGS,DELHI CAPITALS,HOME,Day/Night,WON,26013.15379,3949.22961,112,165,159,5,131.66,137.16
51,0,PUNJAB KINGS,DECCAN CHARGERS,HOME,Day/Night,LOST,26484.89584,2941.251028,174,160,147,1162,134.76,137.85
52,1,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,AWAY,Day,LOST,26668.45523,3956.586325,191,160,153,917,118.872,107.8992
53,0,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,WON,24232.07913,2857.983583,132,148,137,5,135,135
54,0,PUNJAB KINGS,CHENNAI SUPER KINGS,HOME,Day,LOST,30851.49475,2854.56875,192,162.8,153.2,1162,134.76,137.85
55,1,DECCAN CHARGERS,DELHI CAPITALS,AWAY,Day/Night,WON,25330.42297,3900.19915,145,184.5,142,208,136,130
56,0,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,WON,23775.50372,3201.498121,133,147,136,5,135,135
57,1,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,NEUTRAL,Day/Night,WON,26734.1556,4535.756803,184,161.5,141.5,10,137.88,149.17
58,1,CHENNAI SUPER KINGS,DECCAN CHARGERS,AWAY,Day/Night,WON,26818.54717,3874.689606,142,162,149,10,137.88,149.17
59,0,DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,22497.44706,3805.318385,82,161.5,141,10,137.88,149.17
60,1,CHENNAI SUPER KINGS,MUMBAI INDIANS,NEUTRAL,Day/Night,WON,31515.50773,4287.505064,168,161,133,10,137.88,149.17
61,1,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,WON,20250.95875,4458.399567,153,163,155.5,5,131.66,137.16
62,0,DECCAN CHARGERS,RAJASTHAN ROYALS,HOME,Day,LOST,20768.96921,3625.457349,137,165,167,495,135,135
63,0,KOCHI TUSKERS KERALA,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,21000.51537,3099.686049,161,159,146,3,172.24,138.88
64,0,DELHI CAPITALS,MUMBAI INDIANS,HOME,Day,WON,29161.91804,3161.429395,95,184,137,208,136,130
65,0,PUNJAB KINGS,PUNE WARRIORS,AWAY,Day/Night,WON,20815.31519,2849.196195,112,161.5,139.5,10,137.88,149.17
66,1,KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,HOME,Day/Night,WON,19317.96653,3303.372019,163,142,135.5,5,135,135
67,0,DELHI CAPITALS,RAJASTHAN ROYALS,AWAY,Day,WON,24583.90238,3011.228976,151,154.5,143.5,429,145.06,142.33
68,0,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,HOME,Day/Night,LOST,28473.00273,2765.915424,140,165.5,145.5,917,118.872,107.8992
69,0,CHENNAI SUPER KINGS,PUNJAB KINGS,AWAY,Day,LOST,25846.80297,4293.431755,188,179.5,160,318,137.16,137.16
70,0,KOCHI TUSKERS KERALA,PUNE WARRIORS,AWAY,Day/Night,WON,21375.15753,3146.591219,148,161,133,10,137.88,149.17
71,1,DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,26578.679,2991.93709,175,164.5,160,495,135,135
72,0,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,HOME,Day,LOST,22261.32846,4316.002728,159,153,146,429,145.06,142.33
73,0,MUMBAI INDIANS,KOCHI TUSKERS KERALA,HOME,Day/Night,LOST,28245.53781,4496.435744,182,160.5,137,3,140,140
74,1,CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,HOME,Day,WON,25634.77197,3524.203675,183,161,152,5,131.66,137.16
75,0,DECCAN CHARGERS,PUNJAB KINGS,HOME,Day/Night,LOST,30609.49856,3219.368685,165,165,153,495,135,135
76,0,PUNE WARRIORS,DELHI CAPITALS,HOME,Day,LOST,24972.09906,3699.662728,187,157.5,139.5,10,137.88,149.17
77,0,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,LOST,23389.89816,4284.984339,81,147,136,5,135,135
78,1,DECCAN CHARGERS,DELHI CAPITALS,AWAY,Day,WON,23547.29546,2984.46752,168,180.5,135.5,208,136,130
79,0,PUNE WARRIORS,MUMBAI INDIANS,AWAY,Day,WON,30051.74457,3749.163025,118,165,158,3,140,140
80,1,KOCHI TUSKERS KERALA,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,LOST,22913.10272,3080.483007,132,142,135.5,5,135,135
81,1,PUNJAB KINGS,RAJASTHAN ROYALS,HOME,Day/Night,LOST,27023.48283,3686.857975,195,181,162,318,137.16,137.16
82,0,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,HOME,Day,LOST,25296.46147,4393.06902,171,137,135,5,135,135
83,1,MUMBAI INDIANS,CHENNAI SUPER KINGS,HOME,Day/Night,LOST,33665.94719,4613.147061,164,160.5,141,3,140,140
84,1,DELHI CAPITALS,PUNJAB KINGS,HOME,Day/Night,LOST,33661.09608,2726.99493,231,177,137,208,136,130
85,1,MUMBAI INDIANS,DECCAN CHARGERS,AWAY,Day,LOST,22097.24779,4382.309903,172,165,159.5,495,135,135
86,0,KOCHI TUSKERS KERALA,RAJASTHAN ROYALS,AWAY,Day/Night,LOST,33510.39732,3260.48526,109,154.5,148.5,429,145.06,142.33
87,1,CHENNAI SUPER KINGS,PUNE WARRIORS,HOME,Day/Night,LOST,23177.51747,3763.272441,142,163,155.5,5,131.66,137.16
88,0,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,25045.7902,2849.994096,160,180.5,142,208,136,130
89,0,PUNE WARRIORS,CHENNAI SUPER KINGS,HOME,Day,WON,32676.65455,3824.739777,141,161,146,10,137.88,149.17
90,0,DECCAN CHARGERS,KOCHI TUSKERS KERALA,AWAY,Day/Night,LOST,23846.18947,2973.231282,129,154.4,147.6,3,172.24,138.88
91,1,KOLKATA KNIGHT RIDERS,DELHI CAPITALS,AWAY,Day/Night,LOST,29493.79399,3230.67198,148,177,147,208,136,130
92,0,MUMBAI INDIANS,RAJASTHAN ROYALS,AWAY,Day,LOST,35169.10345,4330.874259,94,153,146,429,145.06,142.33
93,1,ROYAL CHALLENGERS BANGALORE,PUNE WARRIORS,HOME,Day/Night,LOST,21366.22952,2659.716113,181,160,143,917,118.872,107.8992
94,1,DELHI CAPITALS,KOCHI TUSKERS KERALA,AWAY,Day,WON,23827.07381,3173.752645,157,142.2,139.8,3,172.24,138.88
95,0,PUNJAB KINGS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,LOST,25320.90392,3419.194186,119,142,135.5,5,135,135
96,0,PUNE WARRIORS,RAJASTHAN ROYALS,AWAY,Day,LOST,32908.69508,3498.31015,143,152,143.5,429,145.06,142.33
97,1,CHENNAI SUPER KINGS,DECCAN CHARGERS,HOME,Day/Night,WON,20369.61825,3862.706409,165,161,152,5,131.66,137.16
98,1,MUMBAI INDIANS,PUNJAB KINGS,HOME,Day,LOST,32127.83336,4222.559095,159,164,156,3,140,140
99,0,DELHI CAPITALS,KOCHI TUSKERS KERALA,HOME,Day/Night,LOST,21032.91215,3440.338044,140,176.5,142,208,136,130
100,1,KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,AWAY,Day/Night,LOST,18711.01406,3629.953128,169,165,153,495,135,135
101,0,RAJASTHAN ROYALS,CHENNAI SUPER KINGS,AWAY,Day,WON,32895.8137,3638.984427,147,163,151.5,5,131.66,137.16
102,1,MUMBAI INDIANS,PUNE WARRIORS,AWAY,Day/Night,LOST,20685.55074,4717.489543,160,157.5,145.5,10,137.88,149.17
103,1,KOCHI TUSKERS KERALA,KOLKATA KNIGHT RIDERS,HOME,Day,LOST,22761.92581,3444.79362,156,147,130.8,3,172.24,138.88
104,0,DECCAN CHARGERS,DELHI CAPITALS,HOME,Day/Night,LOST,25075.7847,3295.942671,175,167,151,495,135,135
105,1,ROYAL CHALLENGERS BANGALORE,PUNJAB KINGS,HOME,Day/Night,LOST,30203.56668,2338.889178,205,165.5,148,917,118.872,107.8992
